TRACT,0,10000,20000,30000,40000,50000,60000,1,10001,20001,30001,40001,50001,60001,100,10100,20100,30100,40100,50100,60100,101,10101,20101,30101,40101,50101,60101,white,black,aian,aapi,others,nva,va,nh,h,total,flag,diff
39049007041,238,14,3,32,0,0,6,27,0,0,1,0,1,0,1503,43,2,131,1,2,2,26,2,0,0,0,7,1,1794,59,5,165,19,322,1720,1977,65,2042,Net-outflow,-15
39049007043,529,109,0,49,0,2,20,39,8,0,0,0,40,0,2370,274,4,207,1,4,8,165,5,3,0,0,116,1,3103,396,7,257,191,796,3158,3577,377,3954,Net-outflow,-7
39049007044,735,118,4,215,0,2,23,32,2,0,0,0,13,1,3182,390,6,648,1,9,15,95,5,1,0,0,30,0,4044,515,11,864,93,1145,4382,5348,179,5527,Net-inflow,13
39049007047,609,106,1,69,0,5,10,25,11,0,0,0,59,0,2106,276,3,165,1,3,6,108,4,0,0,1,92,1,2848,397,4,236,176,895,2766,3360,301,3661,Net-outflow,-10
39049007048,1028,157,1,123,0,6,49,25,2,0,1,0,16,5,3120,371,6,396,1,6,4,180,9,1,1,0,24,1,4353,539,8,522,111,1413,4120,5268,265,5533,Net-inflow,12
39049007112,527,639,4,46,0,13,55,30,22,0,0,1,26,4,2072,1383,7,167,1,8,7,234,3,0,0,0,49,0,2863,2047,11,215,162,1367,3931,4929,369,5298,Net-inflow,15
39049007113,703,600,2,39,0,9,49,32,8,4,1,0,41,0,1922,1054,6,120,2,0,9,115,7,2,0,0,60,0,2772,1669,14,162,168,1488,3297,4515,270,4785,Net-inflow,8
39049007114,457,480,4,22,0,8,25,37,17,0,1,0,30,2,2570,805,9,91,2,7,12,68,6,3,2,0,50,0,3132,1308,16,118,134,1083,3625,4492,216,4708,Net-inflow,10
39049007115,313,717,2,17,4,7,38,43,30,0,0,0,95,3,1997,1542,6,64,10,13,18,74,0,1,2,0,193,5,2427,2289,9,97,372,1269,3925,4748,446,5194,Net-inflow,12
39049007120,1068,266,3,17,2,3,47,26,3,0,0,0,19,5,2958,370,3,55,1,3,11,66,5,0,0,0,54,0,4118,644,6,75,142,1459,3526,4807,178,4985,Net-inflow,1
39049007132,980,273,2,126,0,7,59,37,2,3,1,0,31,1,4461,728,10,332,1,9,8,118,3,6,2,0,56,0,5596,1006,21,462,171,1522,5734,6996,260,7256,Net-inflow,5
